Times (s)	Voltage (Volts)
3.745000	4.133991
3.750000	4.130096
3.755000	4.123929
3.760000	4.112570
3.765000	4.109000
3.770000	4.101535
3.775000	4.091474
3.780000	4.077518
3.785000	4.073299
3.790000	4.060965
3.795000	4.046036
3.800000	4.031431
3.805000	4.008712
3.810000	3.995081
3.815000	3.982423
3.820000	3.968792
3.825000	3.948020
3.830000	3.931143
3.835000	3.911670
3.840000	3.887653
3.845000	3.868828
3.850000	3.843838
3.855000	3.818198
3.860000	3.800347
3.865000	3.774383
3.870000	3.750365
3.875000	3.720182
3.880000	3.694542
3.885000	3.674744
3.890000	3.645209
3.895000	3.620543
3.900000	3.589710
3.905000	3.562447
3.910000	3.530316
3.915000	3.504676
3.920000	3.476765
3.925000	3.447555
3.930000	3.414774
3.935000	3.385889
3.940000	3.350512
3.945000	3.320653
3.950000	3.288522
3.955000	3.257040
3.960000	3.224585
3.965000	3.195050
3.970000	3.163568
3.975000	3.128841
3.980000	3.097683
3.985000	3.067175
3.990000	3.037640
3.995000	3.006158
4.000000	2.975650
4.005000	2.944817
4.010000	2.913985
4.015000	2.887695
4.020000	2.860433
4.025000	2.829275
4.030000	2.800065
4.035000	2.772478
4.040000	2.747163
4.045000	2.720874
4.050000	2.691015
4.055000	2.665375
4.060000	2.638761
4.065000	2.613446
4.070000	2.590727
4.075000	2.565736
4.080000	2.543991
4.085000	2.521921
4.090000	2.497255
4.095000	2.482000
4.100000	2.459606
4.105000	2.441756
4.110000	2.423905
4.115000	2.405730
4.120000	2.386581
4.125000	2.370353
4.130000	2.358994
4.135000	2.345038
4.140000	2.331082
4.145000	2.319722
4.150000	2.308038
4.155000	2.297328
4.160000	2.287267
4.165000	2.280776
4.170000	2.269741
4.175000	2.266495
4.180000	2.260004
4.185000	2.253513
4.190000	2.249294
4.195000	2.246373
4.200000	2.245399
4.205000	2.241504
4.210000	2.243452
4.215000	2.245724
4.220000	2.247346
4.225000	2.247996
4.230000	2.253188
4.235000	2.257083
4.240000	2.263574
4.245000	2.267793
4.250000	2.275583
4.255000	2.285644
4.260000	2.292784
4.265000	2.302846
4.270000	2.313556
4.275000	2.327512
4.280000	2.339520
4.285000	2.351529
4.290000	2.366783
4.295000	2.383985
4.300000	2.397616
4.305000	2.411572
4.310000	2.427800
4.315000	2.445650
4.320000	2.471939
4.325000	2.486869
4.330000	2.506667
4.335000	2.529710
4.340000	2.551455
4.345000	2.576122
