time (s) 	 Output Voltage(v) 	 Input Voltage(v)
1.77500000 	 5.54386196 	 1.85236176 
1.78000000 	 5.55944065 	 1.85723011 
1.78500000 	 5.57372111 	 1.86080022 
1.79000000 	 5.58929980 	 1.86696679 
1.79500000 	 5.60293115 	 1.87248424 
1.80000000 	 5.61818529 	 1.87670347 
1.80500000 	 5.63343942 	 1.88124725 
1.81000000 	 5.64836900 	 1.88676470 
1.81500000 	 5.66329857 	 1.89130849 
1.82000000 	 5.67822815 	 1.89617683 
1.82500000 	 5.69348228 	 1.90201884 
1.83000000 	 5.70776275 	 1.90753629 
1.83500000 	 5.72269233 	 1.91143096 
1.84000000 	 5.73859557 	 1.91694841 
1.84500000 	 5.75287604 	 1.92181675 
1.85000000 	 5.76715650 	 1.92636054 
1.85500000 	 5.78403341 	 1.93155343 
1.86000000 	 5.79798932 	 1.93707089 
1.86500000 	 5.81259434 	 1.94096556 
1.87000000 	 5.82752392 	 1.94648301 
1.87500000 	 5.84277805 	 1.95102680 
1.88000000 	 5.85803219 	 1.95751792 
1.88500000 	 5.87328632 	 1.96141259 
1.89000000 	 5.88756679 	 1.96725460 
1.89500000 	 5.90379459 	 1.97179838 
1.90000000 	 5.91872416 	 1.97666672 
1.90500000 	 5.93462741 	 1.98250873 
1.91000000 	 5.94728509 	 1.98640340 
1.91500000 	 5.96221467 	 1.99159630 
1.92000000 	 5.97941614 	 1.99743831 
1.92500000 	 5.99239838 	 2.00133298 
1.93000000 	 6.00732796 	 2.00717499 
1.93500000 	 6.02258209 	 2.01171877 
1.94000000 	 6.03783622 	 2.01691167 
1.94500000 	 6.05341491 	 2.02275368 
1.95000000 	 6.06866905 	 2.02729746 
1.95500000 	 6.08262496 	 2.03184125 
1.96000000 	 6.09885276 	 2.03768325 
1.96500000 	 6.11345778 	 2.04255159 
1.97000000 	 6.12773824 	 2.04709538 
1.97500000 	 6.14396604 	 2.05228827 
1.98000000 	 6.15824651 	 2.05683206 
1.98500000 	 6.17447431 	 2.06170040 
1.99000000 	 6.18778111 	 2.06689330 
1.99500000 	 6.20303524 	 2.07273530 
2.00000000 	 6.21828937 	 2.07695453 
2.00500000 	 6.23256984 	 2.08214743 
2.01000000 	 6.24620119 	 2.08669121 
2.01500000 	 6.26340266 	 2.09188411 
2.02000000 	 6.27670946 	 2.09707701 
2.02500000 	 6.29228815 	 2.10259446 
2.03000000 	 6.30721772 	 2.10778735 
2.03500000 	 6.32182274 	 2.11233114 
2.04000000 	 6.33772599 	 2.11752403 
