time (s) 	 Temperature (C) 
0.592000 	 27.654032 
0.593000 	 26.676768 
0.594000 	 26.676768 
0.595000 	 26.676768 
0.596000 	 26.676768 
0.597000 	 26.676768 
0.598000 	 26.676768 
0.599000 	 26.676768 
0.600000 	 26.676768 
0.601000 	 26.676768 
0.602000 	 26.676768 
0.603000 	 26.676768 
0.604000 	 26.676768 
0.605000 	 26.676768 
0.606000 	 26.676768 
0.607000 	 26.676768 
0.608000 	 26.676768 
0.609000 	 26.676768 
0.610000 	 26.676768 
0.611000 	 26.676768 
0.612000 	 26.676768 
0.613000 	 26.676768 
0.614000 	 26.676768 
0.615000 	 26.676768 
0.616000 	 27.654032 
0.617000 	 27.654032 
0.618000 	 26.676768 
0.619000 	 26.676768 
0.620000 	 26.676768 
0.621000 	 26.676768 
0.622000 	 26.676768 
0.623000 	 26.676768 
0.624000 	 26.676768 
0.625000 	 26.676768 
0.626000 	 26.676768 
0.627000 	 26.676768 
0.628000 	 27.654032 
0.629000 	 26.676768 
0.630000 	 26.676768 
0.631000 	 26.676768 
0.632000 	 27.654032 
0.633000 	 26.676768 
0.634000 	 26.676768 
0.635000 	 26.676768 
0.636000 	 26.676768 
0.637000 	 26.676768 
0.638000 	 26.676768 
0.639000 	 26.676768 
0.640000 	 26.676768 
0.641000 	 26.676768 
0.642000 	 25.699504 
0.643000 	 26.676768 
0.644000 	 26.676768 
0.645000 	 26.676768 
0.646000 	 26.676768 
0.647000 	 26.676768 
0.648000 	 26.676768 
0.649000 	 26.676768 
0.650000 	 26.676768 
0.651000 	 26.676768 
0.652000 	 26.676768 
0.653000 	 26.676768 
0.654000 	 26.676768 
0.655000 	 26.676768 
0.656000 	 26.676768 
0.657000 	 26.676768 
0.658000 	 26.676768 
0.659000 	 26.676768 
0.660000 	 26.676768 
0.661000 	 26.676768 
0.662000 	 26.676768 
0.663000 	 26.676768 
0.664000 	 26.676768 
0.665000 	 27.654032 
0.666000 	 26.676768 
0.667000 	 26.676768 
0.668000 	 26.676768 
0.669000 	 26.676768 
0.670000 	 26.676768 
0.671000 	 26.676768 
0.672000 	 26.676768 
0.673000 	 26.676768 
0.674000 	 26.676768 
0.675000 	 26.676768 
0.676000 	 26.676768 
0.677000 	 26.676768 
0.678000 	 26.676768 
0.679000 	 26.676768 
0.680000 	 26.676768 
0.681000 	 26.676768 
0.682000 	 26.676768 
0.683000 	 26.676768 
0.684000 	 26.676768 
0.685000 	 27.654032 
0.686000 	 25.699504 
0.687000 	 26.676768 
0.688000 	 26.676768 
0.689000 	 26.676768 
0.690000 	 26.676768 
0.691000 	 26.676768 
0.692000 	 26.676768 
0.693000 	 26.676768 
0.694000 	 26.676768 
0.695000 	 27.654032 
0.696000 	 27.654032 
0.697000 	 27.654032 
0.698000 	 26.676768 
0.699000 	 26.676768 
0.700000 	 26.676768 
0.701000 	 26.676768 
0.702000 	 26.676768 
0.703000 	 26.676768 
0.704000 	 26.676768 
0.705000 	 26.676768 
0.706000 	 26.676768 
0.707000 	 26.676768 
0.708000 	 26.676768 
0.709000 	 26.676768 
0.710000 	 26.676768 
0.711000 	 26.676768 
0.712000 	 26.676768 
0.713000 	 26.676768 
0.714000 	 26.676768 
0.715000 	 26.676768 
0.716000 	 26.676768 
0.717000 	 26.676768 
0.718000 	 26.676768 
0.719000 	 26.676768 
0.720000 	 26.676768 
0.721000 	 26.676768 
0.722000 	 26.676768 
0.723000 	 26.676768 
0.724000 	 26.676768 
0.725000 	 26.676768 
0.726000 	 26.676768 
0.727000 	 26.676768 
0.728000 	 26.676768 
0.729000 	 26.676768 
0.730000 	 26.676768 
0.731000 	 26.676768 
0.732000 	 27.654032 
0.733000 	 27.654032 
0.734000 	 26.676768 
0.735000 	 26.676768 
0.736000 	 26.676768 
0.737000 	 26.676768 
0.738000 	 26.676768 
0.739000 	 26.676768 
0.740000 	 26.676768 
0.741000 	 26.676768 
0.742000 	 26.676768 
0.743000 	 26.676768 
0.744000 	 26.676768 
0.745000 	 26.676768 
0.746000 	 27.654032 
0.747000 	 26.676768 
0.748000 	 26.676768 
0.749000 	 26.676768 
0.750000 	 26.676768 
0.751000 	 27.654032 
0.752000 	 26.676768 
0.753000 	 26.676768 
0.754000 	 26.676768 
0.755000 	 27.654032 
0.756000 	 26.676768 
0.757000 	 26.676768 
0.758000 	 26.676768 
