time (s) 	 Voltage output 	 Flowrate (scfm) 
2.385000 	 3.388745 	 6.117616 
2.390000 	 3.398930 	 6.147456 
2.395000 	 3.398930 	 6.147456 
2.400000 	 3.409114 	 6.177151 
2.405000 	 3.398930 	 6.147456 
2.410000 	 3.409114 	 6.177151 
2.415000 	 3.398930 	 6.147456 
2.420000 	 3.409114 	 6.177151 
2.425000 	 3.398930 	 6.147456 
2.430000 	 3.398930 	 6.147456 
2.435000 	 3.398930 	 6.147456 
2.440000 	 3.409114 	 6.177151 
2.445000 	 3.398930 	 6.147456 
2.450000 	 3.398930 	 6.147456 
2.455000 	 3.398930 	 6.147456 
2.460000 	 3.398930 	 6.147456 
2.465000 	 3.398930 	 6.147456 
2.470000 	 3.398930 	 6.147456 
2.475000 	 3.419299 	 6.206704 
2.480000 	 3.409114 	 6.177151 
2.485000 	 3.398930 	 6.147456 
2.490000 	 3.398930 	 6.147456 
2.495000 	 3.409114 	 6.177151 
2.500000 	 3.398930 	 6.147456 
2.505000 	 3.398930 	 6.147456 
2.510000 	 3.388745 	 6.117616 
2.515000 	 3.409114 	 6.177151 
2.520000 	 3.398930 	 6.147456 
2.525000 	 3.398930 	 6.147456 
2.530000 	 3.398930 	 6.147456 
2.535000 	 3.388745 	 6.117616 
2.540000 	 3.398930 	 6.147456 
2.545000 	 3.409114 	 6.177151 
2.550000 	 3.398930 	 6.147456 
2.555000 	 3.409114 	 6.177151 
2.560000 	 3.409114 	 6.177151 
2.565000 	 3.398930 	 6.147456 
2.570000 	 3.398930 	 6.147456 
2.575000 	 3.398930 	 6.147456 
2.580000 	 3.398930 	 6.147456 
2.585000 	 3.398930 	 6.147456 
2.590000 	 3.398930 	 6.147456 
2.595000 	 3.398930 	 6.147456 
2.600000 	 3.388745 	 6.117616 
2.605000 	 3.398930 	 6.147456 
2.610000 	 3.398930 	 6.147456 
2.615000 	 3.398930 	 6.147456 
2.620000 	 3.398930 	 6.147456 
2.625000 	 3.398930 	 6.147456 
2.630000 	 3.398930 	 6.147456 
2.635000 	 3.388745 	 6.117616 
2.640000 	 3.398930 	 6.147456 
2.645000 	 3.398930 	 6.147456 
2.650000 	 3.398930 	 6.147456 
2.655000 	 3.398930 	 6.147456 
2.660000 	 3.398930 	 6.147456 
2.665000 	 3.398930 	 6.147456 
2.670000 	 3.388745 	 6.117616 
2.675000 	 3.419299 	 6.206704 
2.680000 	 3.409114 	 6.177151 
2.685000 	 3.409114 	 6.177151 
2.690000 	 3.409114 	 6.177151 
2.695000 	 3.398930 	 6.147456 
2.700000 	 3.398930 	 6.147456 
2.705000 	 3.419299 	 6.206704 
2.710000 	 3.409114 	 6.177151 
2.715000 	 3.419299 	 6.206704 
2.720000 	 3.409114 	 6.177151 
2.725000 	 3.409114 	 6.177151 
2.730000 	 3.409114 	 6.177151 
2.735000 	 3.419299 	 6.206704 
2.740000 	 3.409114 	 6.177151 
2.745000 	 3.409114 	 6.177151 
2.750000 	 3.398930 	 6.147456 
2.755000 	 3.398930 	 6.147456 
2.760000 	 3.398930 	 6.147456 
2.765000 	 3.409114 	 6.177151 
2.770000 	 3.398930 	 6.147456 
2.775000 	 3.409114 	 6.177151 
2.780000 	 3.398930 	 6.147456 
2.785000 	 3.398930 	 6.147456 
2.790000 	 3.419299 	 6.206704 
2.795000 	 3.398930 	 6.147456 
2.800000 	 3.398930 	 6.147456 
2.805000 	 3.398930 	 6.147456 
2.810000 	 3.409114 	 6.177151 
2.815000 	 3.398930 	 6.147456 
2.820000 	 3.398930 	 6.147456 
2.825000 	 3.398930 	 6.147456 
2.830000 	 3.398930 	 6.147456 
2.835000 	 3.398930 	 6.147456 
2.840000 	 3.398930 	 6.147456 
2.845000 	 3.409114 	 6.177151 
2.850000 	 3.419299 	 6.206704 
2.855000 	 3.409114 	 6.177151 
2.860000 	 3.419299 	 6.206704 
2.865000 	 3.409114 	 6.177151 
2.870000 	 3.398930 	 6.147456 
2.875000 	 3.409114 	 6.177151 
2.880000 	 3.398930 	 6.147456 
2.885000 	 3.398930 	 6.147456 
2.890000 	 3.398930 	 6.147456 
2.895000 	 3.398930 	 6.147456 
2.900000 	 3.398930 	 6.147456 
2.905000 	 3.398930 	 6.147456 
2.910000 	 3.398930 	 6.147456 
2.915000 	 3.409114 	 6.177151 
2.920000 	 3.398930 	 6.147456 
2.925000 	 3.398930 	 6.147456 
2.930000 	 3.398930 	 6.147456 
2.935000 	 3.409114 	 6.177151 
2.940000 	 3.388745 	 6.117616 
2.945000 	 3.398930 	 6.147456 
2.950000 	 3.398930 	 6.147456 
2.955000 	 3.398930 	 6.147456 
2.960000 	 3.398930 	 6.147456 
2.965000 	 3.398930 	 6.147456 
2.970000 	 3.388745 	 6.117616 
2.975000 	 3.409114 	 6.177151 
2.980000 	 3.398930 	 6.147456 
2.985000 	 3.398930 	 6.147456 
2.990000 	 3.398930 	 6.147456 
2.995000 	 3.398930 	 6.147456 
3.000000 	 3.398930 	 6.147456 
3.005000 	 3.398930 	 6.147456 
3.010000 	 3.398930 	 6.147456 
3.015000 	 3.398930 	 6.147456 
3.020000 	 3.398930 	 6.147456 
3.025000 	 3.409114 	 6.177151 
3.030000 	 3.398930 	 6.147456 
3.035000 	 3.409114 	 6.177151 
3.040000 	 3.419299 	 6.206704 
3.045000 	 3.409114 	 6.177151 
3.050000 	 3.398930 	 6.147456 
3.055000 	 3.398930 	 6.147456 
3.060000 	 3.409114 	 6.177151 
