time (s) 	 Voltage output 	 Flowrate (scfm) 
0.398000 	 2.349908 	 0.187199 
0.399000 	 2.349908 	 0.187199 
0.400000 	 2.360093 	 0.600377 
0.401000 	 2.349908 	 0.187199 
0.402000 	 2.349908 	 0.187199 
0.403000 	 2.349908 	 0.187199 
0.404000 	 2.349908 	 0.187199 
0.405000 	 2.349908 	 0.187199 
0.406000 	 2.349908 	 0.187199 
0.407000 	 2.349908 	 0.187199 
0.408000 	 2.360093 	 0.600377 
0.409000 	 2.349908 	 0.187199 
0.410000 	 2.349908 	 0.187199 
0.411000 	 2.349908 	 0.187199 
0.412000 	 2.360093 	 0.600377 
0.413000 	 2.360093 	 0.600377 
0.414000 	 2.349908 	 0.187199 
0.415000 	 2.349908 	 0.187199 
0.416000 	 2.360093 	 0.600377 
0.417000 	 2.349908 	 0.187199 
0.418000 	 2.360093 	 0.600377 
0.419000 	 2.349908 	 0.187199 
0.420000 	 2.349908 	 0.187199 
0.421000 	 2.360093 	 0.600377 
0.422000 	 2.349908 	 0.187199 
0.423000 	 2.360093 	 0.600377 
0.424000 	 2.349908 	 0.187199 
0.425000 	 2.349908 	 0.187199 
0.426000 	 2.349908 	 0.187199 
0.427000 	 2.349908 	 0.187199 
0.428000 	 2.360093 	 0.600377 
0.429000 	 2.349908 	 0.187199 
0.430000 	 2.349908 	 0.187199 
0.431000 	 2.349908 	 0.187199 
0.432000 	 2.360093 	 0.600377 
0.433000 	 2.349908 	 0.187199 
0.434000 	 2.349908 	 0.187199 
0.435000 	 2.349908 	 0.187199 
0.436000 	 2.349908 	 0.187199 
0.437000 	 2.360093 	 0.600377 
0.438000 	 2.349908 	 0.187199 
0.439000 	 2.349908 	 0.187199 
0.440000 	 2.360093 	 0.600377 
0.441000 	 2.360093 	 0.600377 
0.442000 	 2.349908 	 0.187199 
0.443000 	 2.349908 	 0.187199 
0.444000 	 2.349908 	 0.187199 
0.445000 	 2.349908 	 0.187199 
0.446000 	 2.360093 	 0.600377 
