Times (s),Voltage (Volts)
0.404000,94.277463,0.223825 
0.405000,94.347083,0.177594 
0.406000,94.347083,0.146774 
0.407000,94.231049,0.223825 
0.408000,94.277463,0.239235 
0.409000,94.277463,0.377926 
0.410000,94.231049,0.162184 
0.411000,94.231049,0.223825 
0.412000,94.277463,0.331696 
0.413000,94.300670,0.270055 
0.414000,94.277463,0.285465 
0.415000,94.277463,0.285465 
0.416000,94.254256,0.193005 
0.417000,94.300670,0.316286 
0.418000,94.231049,0.193005 
0.419000,94.254256,0.162184 
0.420000,94.277463,0.285465 
0.421000,94.323876,0.316286 
0.422000,94.254256,0.177594 
0.423000,94.231049,0.162184 
0.424000,94.277463,0.254645 
0.425000,94.254256,0.208415 
0.426000,94.254256,0.223825 
0.427000,94.254256,0.177594 
0.428000,94.277463,0.254645 
0.429000,94.254256,0.300876 
0.430000,94.277463,0.208415 
0.431000,94.231049,0.223825 
0.432000,94.231049,0.162184 
0.433000,94.277463,0.270055 
0.434000,94.231049,0.239235 
0.435000,94.231049,0.316286 
0.436000,94.277463,0.270055 
0.437000,94.231049,0.331696 
0.438000,94.277463,0.239235 
0.439000,94.254256,0.193005 
0.440000,94.254256,0.239235 
0.441000,94.207842,0.193005 
0.442000,94.231049,0.285465 
0.443000,94.231049,0.270055 
0.444000,94.207842,0.177594 
0.445000,94.254256,0.193005 
0.446000,94.254256,0.177594 
0.447000,94.231049,0.285465 
0.448000,94.231049,0.223825 
0.449000,94.231049,0.254645 
0.450000,94.161428,0.177594 
0.451000,94.254256,0.115954 
0.452000,94.277463,0.177594 
0.453000,94.254256,0.223825 
0.454000,94.277463,0.162184 
0.455000,94.207842,0.146774 
0.456000,94.277463,0.285465 
0.457000,94.207842,0.270055 
0.458000,94.184635,0.285465 
0.459000,94.254256,0.285465 
0.460000,94.231049,0.254645 
0.461000,94.207842,0.347106 
0.462000,94.184635,0.254645 
0.463000,94.231049,0.208415 
0.464000,94.207842,0.285465 
0.465000,94.231049,0.270055 
0.466000,94.207842,0.162184 
0.467000,94.207842,0.239235 
0.468000,94.277463,0.223825 
0.469000,94.277463,0.331696 
0.470000,94.207842,0.347106 
0.471000,94.254256,0.223825 
0.472000,94.277463,0.254645 
0.473000,94.231049,0.300876 
0.474000,94.161428,0.270055 
0.475000,94.231049,0.300876 
0.476000,94.184635,0.285465 
0.477000,94.207842,0.177594 
0.478000,94.161428,0.285465 
0.479000,94.207842,0.270055 
0.480000,94.184635,0.377926 
0.481000,94.277463,0.285465 
0.482000,94.231049,0.254645 
