time (s) 	 Voltage output 	 Flowrate (scfm) 
4.330000 	 2.508364 	 2.508364 
4.340000 	 2.508364 	 2.508364 
4.350000 	 2.508364 	 2.508364 
4.360000 	 2.508364 	 2.508364 
4.370000 	 2.508364 	 2.508364 
4.380000 	 2.508364 	 2.508364 
4.390000 	 2.508364 	 2.508364 
4.400000 	 2.508364 	 2.508364 
4.410000 	 2.508364 	 2.508364 
4.420000 	 2.508364 	 2.508364 
4.430000 	 2.508364 	 2.508364 
4.440000 	 2.508364 	 2.508364 
4.450000 	 2.508364 	 2.508364 
4.460000 	 2.508364 	 2.508364 
4.470000 	 2.508364 	 2.508364 
4.480000 	 2.508364 	 2.508364 
4.490000 	 2.508364 	 2.508364 
4.500000 	 2.508364 	 2.508364 
4.510000 	 2.508364 	 2.508364 
4.520000 	 2.508364 	 2.508364 
4.530000 	 2.508364 	 2.508364 
4.540000 	 2.508364 	 2.508364 
4.550000 	 2.508364 	 2.508364 
4.560000 	 2.508364 	 2.508364 
4.570000 	 2.508364 	 2.508364 
4.580000 	 2.508364 	 2.508364 
4.590000 	 2.509651 	 2.509651 
4.600000 	 2.508364 	 2.508364 
4.610000 	 2.508364 	 2.508364 
4.620000 	 2.509651 	 2.509651 
4.630000 	 2.508364 	 2.508364 
4.640000 	 2.508364 	 2.508364 
4.650000 	 2.508364 	 2.508364 
4.660000 	 2.508364 	 2.508364 
4.670000 	 2.508364 	 2.508364 
4.680000 	 2.508364 	 2.508364 
4.690000 	 2.508364 	 2.508364 
4.700000 	 2.508364 	 2.508364 
4.710000 	 2.508364 	 2.508364 
4.720000 	 2.508364 	 2.508364 
4.730000 	 2.508364 	 2.508364 
4.740000 	 2.508364 	 2.508364 
4.750000 	 2.508364 	 2.508364 
4.760000 	 2.508364 	 2.508364 
4.770000 	 2.508364 	 2.508364 
4.780000 	 2.508364 	 2.508364 
4.790000 	 2.508364 	 2.508364 
4.800000 	 2.508364 	 2.508364 
4.810000 	 2.508364 	 2.508364 
4.820000 	 2.508364 	 2.508364 
4.830000 	 2.508364 	 2.508364 
4.840000 	 2.508364 	 2.508364 
4.850000 	 2.508364 	 2.508364 
4.860000 	 2.508364 	 2.508364 
4.870000 	 2.508364 	 2.508364 
4.880000 	 2.508364 	 2.508364 
4.890000 	 2.508364 	 2.508364 
4.900000 	 2.508364 	 2.508364 
4.910000 	 2.508364 	 2.508364 
4.920000 	 2.508364 	 2.508364 
4.930000 	 2.508364 	 2.508364 
4.940000 	 2.508364 	 2.508364 
4.950000 	 2.508364 	 2.508364 
4.960000 	 2.508364 	 2.508364 
4.970000 	 2.509651 	 2.509651 
4.980000 	 2.508364 	 2.508364 
4.990000 	 2.508364 	 2.508364 
5.000000 	 2.508364 	 2.508364 
5.010000 	 2.508364 	 2.508364 
5.020000 	 2.508364 	 2.508364 
5.030000 	 2.508364 	 2.508364 
5.040000 	 2.508364 	 2.508364 
5.050000 	 2.508364 	 2.508364 
5.060000 	 2.508364 	 2.508364 
5.070000 	 2.508364 	 2.508364 
5.080000 	 2.508364 	 2.508364 
5.090000 	 2.508364 	 2.508364 
5.100000 	 2.508364 	 2.508364 
5.110000 	 2.508364 	 2.508364 
5.120000 	 2.508364 	 2.508364 
5.130000 	 2.508364 	 2.508364 
5.140000 	 2.508364 	 2.508364 
5.150000 	 2.508364 	 2.508364 
5.160000 	 2.508364 	 2.508364 
5.170000 	 2.508364 	 2.508364 
5.180000 	 2.508364 	 2.508364 
5.190000 	 2.508364 	 2.508364 
5.200000 	 2.508364 	 2.508364 
5.210000 	 2.508364 	 2.508364 
5.220000 	 2.508364 	 2.508364 
5.230000 	 2.508364 	 2.508364 
5.240000 	 2.508364 	 2.508364 
5.250000 	 2.509651 	 2.509651 
5.260000 	 2.508364 	 2.508364 
5.270000 	 2.508364 	 2.508364 
