time (s) 	 Temperature (C) 
0.749000 	 36.298080 
0.750000 	 35.949086 
0.751000 	 36.266353 
0.752000 	 36.298080 
0.753000 	 36.329807 
0.754000 	 36.393260 
0.755000 	 36.075993 
0.756000 	 35.917359 
0.757000 	 36.171173 
0.758000 	 36.202900 
0.759000 	 36.139446 
0.760000 	 36.075993 
0.761000 	 35.853905 
0.762000 	 36.234626 
0.763000 	 36.171173 
0.764000 	 36.202900 
0.765000 	 35.949086 
0.766000 	 36.266353 
0.767000 	 35.949086 
0.768000 	 36.202900 
0.769000 	 36.139446 
0.770000 	 36.298080 
0.771000 	 36.202900 
0.772000 	 36.266353 
0.773000 	 36.234626 
0.774000 	 36.234626 
0.775000 	 36.171173 
0.776000 	 36.234626 
0.777000 	 36.139446 
0.778000 	 36.266353 
0.779000 	 36.361533 
0.780000 	 35.885632 
0.781000 	 36.171173 
0.782000 	 36.012539 
0.783000 	 36.266353 
0.784000 	 36.044266 
0.785000 	 36.202900 
0.786000 	 35.949086 
0.787000 	 36.139446 
0.788000 	 36.044266 
0.789000 	 36.329807 
0.790000 	 36.139446 
0.791000 	 36.139446 
0.792000 	 36.171173 
0.793000 	 36.234626 
0.794000 	 36.202900 
0.795000 	 36.329807 
0.796000 	 36.202900 
0.797000 	 36.139446 
0.798000 	 36.107719 
0.799000 	 36.107719 
0.800000 	 36.171173 
0.801000 	 36.298080 
0.802000 	 36.393260 
0.803000 	 36.202900 
0.804000 	 36.044266 
0.805000 	 36.171173 
0.806000 	 36.234626 
0.807000 	 36.075993 
0.808000 	 36.075993 
0.809000 	 36.139446 
0.810000 	 36.107719 
0.811000 	 36.266353 
0.812000 	 36.266353 
0.813000 	 36.139446 
0.814000 	 36.266353 
0.815000 	 36.361533 
0.816000 	 35.949086 
0.817000 	 36.202900 
0.818000 	 36.139446 
0.819000 	 36.202900 
0.820000 	 36.202900 
0.821000 	 36.075993 
0.822000 	 36.298080 
0.823000 	 36.361533 
0.824000 	 36.361533 
0.825000 	 36.044266 
0.826000 	 36.266353 
0.827000 	 36.171173 
0.828000 	 36.424987 
0.829000 	 36.107719 
0.830000 	 36.044266 
0.831000 	 36.266353 
0.832000 	 36.329807 
0.833000 	 36.012539 
0.834000 	 36.266353 
0.835000 	 36.107719 
0.836000 	 36.171173 
0.837000 	 36.202900 
0.838000 	 36.234626 
0.839000 	 35.980812 
0.840000 	 36.012539 
0.841000 	 36.012539 
0.842000 	 36.234626 
0.843000 	 36.075993 
0.844000 	 36.234626 
0.845000 	 36.234626 
0.846000 	 36.139446 
0.847000 	 36.234626 
0.848000 	 36.234626 
0.849000 	 36.044266 
0.850000 	 36.234626 
0.851000 	 36.298080 
0.852000 	 35.980812 
0.853000 	 36.266353 
0.854000 	 35.980812 
0.855000 	 36.202900 
0.856000 	 36.139446 
0.857000 	 36.171173 
0.858000 	 36.202900 
0.859000 	 36.266353 
0.860000 	 36.298080 
0.861000 	 36.171173 
0.862000 	 35.853905 
0.863000 	 36.012539 
0.864000 	 36.171173 
0.865000 	 36.234626 
0.866000 	 36.266353 
0.867000 	 35.917359 
0.868000 	 36.075993 
0.869000 	 36.329807 
0.870000 	 36.107719 
0.871000 	 36.361533 
0.872000 	 36.361533 
0.873000 	 36.202900 
0.874000 	 36.266353 
0.875000 	 36.044266 
0.876000 	 36.139446 
0.877000 	 36.361533 
0.878000 	 36.298080 
0.879000 	 36.266353 
0.880000 	 36.107719 
0.881000 	 36.139446 
0.882000 	 36.075993 
0.883000 	 36.171173 
0.884000 	 36.139446 
0.885000 	 36.171173 
0.886000 	 36.012539 
0.887000 	 36.012539 
0.888000 	 35.949086 
0.889000 	 36.266353 
0.890000 	 36.107719 
0.891000 	 36.075993 
0.892000 	 36.107719 
0.893000 	 36.329807 
0.894000 	 36.075993 
0.895000 	 36.266353 
0.896000 	 36.139446 
0.897000 	 36.234626 
0.898000 	 36.107719 
0.899000 	 36.107719 
0.900000 	 36.171173 
0.901000 	 36.139446 
0.902000 	 36.171173 
0.903000 	 36.266353 
0.904000 	 36.202900 
0.905000 	 35.980812 
0.906000 	 36.075993 
0.907000 	 36.012539 
0.908000 	 36.329807 
0.909000 	 36.139446 
0.910000 	 36.298080 
0.911000 	 36.202900 
0.912000 	 36.361533 
0.913000 	 36.171173 
0.914000 	 36.107719 
0.915000 	 36.139446 
0.916000 	 36.139446 
0.917000 	 36.202900 
0.918000 	 36.266353 
0.919000 	 36.139446 
0.920000 	 36.107719 
0.921000 	 36.393260 
0.922000 	 36.107719 
0.923000 	 36.234626 
0.924000 	 36.266353 
0.925000 	 35.980812 
0.926000 	 36.044266 
0.927000 	 36.202900 
0.928000 	 36.012539 
0.929000 	 35.980812 
0.930000 	 36.107719 
0.931000 	 36.202900 
0.932000 	 36.107719 
0.933000 	 36.393260 
0.934000 	 36.234626 
0.935000 	 36.266353 
0.936000 	 36.266353 
0.937000 	 36.424987 
0.938000 	 36.107719 
0.939000 	 36.329807 
0.940000 	 36.202900 
0.941000 	 36.329807 
0.942000 	 35.980812 
0.943000 	 36.266353 
0.944000 	 36.107719 
0.945000 	 36.234626 
0.946000 	 36.139446 
0.947000 	 36.044266 
0.948000 	 36.329807 
0.949000 	 36.361533 
0.950000 	 36.075993 
0.951000 	 36.234626 
0.952000 	 36.234626 
0.953000 	 36.107719 
0.954000 	 36.329807 
0.955000 	 36.298080 
0.956000 	 36.044266 
0.957000 	 36.044266 
0.958000 	 35.980812 
0.959000 	 36.202900 
0.960000 	 36.139446 
0.961000 	 36.107719 
0.962000 	 36.075993 
0.963000 	 36.171173 
0.964000 	 36.139446 
0.965000 	 36.234626 
0.966000 	 36.171173 
0.967000 	 36.139446 
0.968000 	 36.044266 
0.969000 	 36.171173 
0.970000 	 36.139446 
0.971000 	 36.361533 
0.972000 	 36.202900 
0.973000 	 35.980812 
0.974000 	 35.980812 
0.975000 	 36.075993 
0.976000 	 36.266353 
0.977000 	 36.234626 
0.978000 	 36.075993 
0.979000 	 36.171173 
0.980000 	 36.234626 
0.981000 	 36.171173 
0.982000 	 36.012539 
0.983000 	 36.234626 
0.984000 	 36.202900 
0.985000 	 36.075993 
0.986000 	 36.266353 
0.987000 	 36.266353 
0.988000 	 36.361533 
0.989000 	 36.298080 
0.990000 	 35.885632 
0.991000 	 36.075993 
0.992000 	 36.234626 
0.993000 	 36.171173 
0.994000 	 36.298080 
0.995000 	 36.298080 
0.996000 	 36.139446 
0.997000 	 36.107719 
