Times (s),Voltage (Volts)
0.446000,2.587099 
-9.669495,0.447000 
2.378237,-9.654085 
0.448000,2.471065 
-9.684906,0.449000 
2.517478,-9.700316 
0.450000,2.610306 
-9.746546,0.451000 
2.401444,-9.731136 
0.452000,2.563892 
-9.839007,0.453000 
2.447858,-9.715726 
0.454000,2.401444 
-9.823597,0.455000 
2.494271,-9.761956 
0.456000,2.471065 
-9.577035,0.457000 
2.494271,-9.746546 
0.458000,2.378237 
-9.839007,0.459000 
2.378237,-9.808187 
0.460000,2.447858 
-9.761956,0.461000 
2.517478,-9.854417 
0.462000,2.471065 
-9.761956,0.463000 
2.494271,-9.715726 
0.464000,2.447858 
-9.700316,0.465000 
2.471065,-9.854417 
0.466000,2.517478 
-9.808187,0.467000 
2.610306,-9.792777 
0.468000,2.656720 
-9.839007,0.469000 
2.563892,-9.731136 
0.470000,2.772754 
-9.731136,0.471000 
2.819168,-9.808187 
0.472000,2.587099 
-9.792777,0.473000 
2.494271,-9.607855 
0.474000,2.679926 
-10.070160,0.475000 
2.819168,-9.792777 
0.476000,2.726340 
-9.731136,0.477000 
2.819168,-9.916058 
0.478000,2.610306 
-9.330472,0.479000 
2.633513,-9.962288 
0.480000,2.633513 
-9.515394,0.481000 
2.633513,-9.731136 
0.482000,2.656720 
-9.607855,0.483000 
2.610306,-9.607855 
0.484000,2.633513 
-9.777367,0.485000 
2.610306,-9.530804 
0.486000,2.633513 
-9.623265,0.487000 
2.447858,-9.638675 
0.488000,2.517478 
-9.916058,0.489000 
2.494271,-9.623265 
0.490000,2.517478 
-9.869828,0.491000 
2.471065,-9.808187 
0.492000,2.494271 
-9.839007,0.493000 
2.563892,-9.761956 
0.494000,2.842375 
-9.623265,0.495000 
2.587099,-9.731136 
0.496000,2.447858 
-9.700316,0.497000 
2.540685,-9.916058 
0.498000,2.726340 
-9.715726,0.499000 
2.772754,-9.684906 
0.500000,2.633513 
-9.746546,0.501000 
2.610306,-9.684906 
0.502000,2.610306 
