time (s) 	 Voltage (V) 
0.419000 	 4.458638 
0.420000 	 4.470225 
0.421000 	 4.483099 
0.422000 	 4.494686 
0.423000 	 4.507560 
0.424000 	 4.520435 
0.425000 	 4.532022 
0.426000 	 4.544896 
0.427000 	 4.557771 
0.428000 	 4.569358 
0.429000 	 4.582232 
0.430000 	 4.595106 
0.431000 	 4.606693 
0.432000 	 4.620855 
0.433000 	 4.633730 
0.434000 	 4.644029 
0.435000 	 4.658191 
0.436000 	 4.669778 
0.437000 	 4.682652 
0.438000 	 4.695527 
0.439000 	 4.707114 
0.440000 	 4.719988 
0.441000 	 4.731575 
0.442000 	 4.744450 
0.443000 	 4.757324 
0.444000 	 4.770199 
0.445000 	 4.783073 
0.446000 	 4.795947 
0.447000 	 4.807534 
0.448000 	 4.820409 
0.449000 	 4.833283 
0.450000 	 4.846158 
0.451000 	 4.857745 
0.452000 	 4.870619 
0.453000 	 4.883493 
0.454000 	 4.896368 
0.455000 	 4.907955 
0.456000 	 4.920829 
0.457000 	 4.933704 
0.458000 	 4.946578 
0.459000 	 4.959453 
0.460000 	 4.971040 
0.461000 	 4.983914 
0.462000 	 4.996788 
0.463000 	 5.009663 
0.464000 	 5.021250 
0.465000 	 5.032837 
0.466000 	 5.046999 
0.467000 	 5.059873 
0.468000 	 5.071460 
0.469000 	 5.084334 
0.470000 	 5.097209 
0.471000 	 5.110083 
0.472000 	 5.121670 
0.473000 	 5.134545 
0.474000 	 5.147419 
0.475000 	 5.159006 
0.476000 	 5.173168 
0.477000 	 5.184755 
0.478000 	 5.197629 
0.479000 	 5.210504 
0.480000 	 5.223378 
0.481000 	 5.234965 
0.482000 	 5.247840 
0.483000 	 5.260714 
0.484000 	 5.272301 
0.485000 	 5.285175 
0.486000 	 5.296762 
0.487000 	 5.310924 
0.488000 	 5.323799 
0.489000 	 5.336673 
0.490000 	 5.348260 
0.491000 	 5.359847 
0.492000 	 5.372722 
0.493000 	 5.385596 
0.494000 	 5.398470 
0.495000 	 5.410057 
0.496000 	 5.422932 
0.497000 	 5.435806 
0.498000 	 5.448681 
0.499000 	 5.460268 
0.500000 	 5.473142 
0.501000 	 5.484729 
0.502000 	 5.497603 
0.503000 	 5.510478 
0.504000 	 5.522065 
